연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
5356,(주)씨텍,부산 사상구,"(46918) 부산광역시 사상구 모라로 22 1509호        (모라동, 부산벤처타워)",128.9847366,35.1909404,
5357,디에이치주식회사,경기 평택시,(17956) 경기도 평택시 평택항로268번길 55 미주오토텍,126.8427558,36.98557516,
5358,사단법인대한수상안전교육협회광주전남지부,전남 나주시,(58231) 전라남도 나주시 나주호로 558-314 (사)대한수상안전교육협회광주전남지부,126.871274,34.94812751,
5359,연수간호학원,인천 연수구,"(21927) 인천광역시 연수구 청능대로 109(연수동, 탑피온) 6층, 5호 6호 7호",126.6767454,37.41297244,
5360,(학교법인)인하공업전문대학,인천 미추홀구,(22212) 인천광역시 미추홀구 인하로 100 ,,,
5361,한세실업주식회사,서울 영등포구,"(07238) 서울특별시 영등포구 은행로 29 (여의도동, 5층)",126.9218344,37.52898569,
5362,(주)새한산업/포승공장,경기 평택시,(17960) 경기도 평택시 포승공단로118번길 103 새한산업,126.8549121,36.97238121,
5363,(주)아이알텍,경북 포항시 남구,(37918) 경상북도 포항시 남구 신항로 110 ,,,
5364,김은경기능장요리학원,울산 중구,"(44532) 울산광역시 중구 젊음의2거리 27 4층, 6층",129.3195551,35.5532469,
5365,(주)에이앤유디자인그룹건축사사무소,서울 송파구,(05839) 서울특별시 송파구 충민로 52 가든파이브웍스 4층,127.122629,37.47763229,
5366,배화여자대학교 산학협력단,서울 종로구,(03039) 서울특별시 종로구 필운대로1길 34 배화여자대학교,126.9668031,37.57825582,
5367,천안총신평생교육원부설 큰물결요양보호사교육원,충남 천안시 동남구,"(31151) 충청남도 천안시 동남구 순천향4길 12 (쌍용동 서원빌딩) 2층, 3층",127.1330074,36.80068207,
5368,김해 수윤간호학원,경남 김해시,(50926) 경상남도 김해시 가락로 23 401호,128.8821318,35.22871371,
5369,(주)와이즈스톤티,서울 서초구,(06729) 서울특별시 서초구 강남대로 291 6층 (주)와이즈스톤티,127.0312968,37.48913219,
5370,모두온뷰티아카데미미용학원,대구 남구,"(42410) 대구광역시 남구 중앙대로 253-2 2,3F",128.5902024,35.85602307,
5371,벨라루시애견미용학원,대구 북구,(41544) 대구광역시 북구 산격로 48 4층,128.6054968,35.89487496,
